Symptom,weight
itching,6
skin_rash,1
nodal_skin_eruptions,1
continuous_sneezing,6
shivering,3
chills,2
joint_pain,2
stomach_pain,2
acidity,6
ulcers_on_tongue,1
muscle_wasting,6
vomiting,6
burning_micturition,5
spotting_urination,1
fatigue,5
weight_gain,4
anxiety,1
cold_hands_and_feets,1
mood_swings,1
weight_loss,2
restlessness,2
lethargy,5
patches_in_throat,5
irregular_sugar_level,1
cough,5
high_fever,2
sunken_eyes,6
breathlessness,6
sweating,6
dehydration,5
indigestion,4
headache,2
yellowish_skin,4
dark_urine,5
nausea,3
loss_of_appetite,7
pain_behind_the_eyes,7
back_pain,1
constipation,7
abdominal_pain,7
diarrhoea,2
mild_fever,6
yellow_urine,4
yellowing_of_eyes,3
acute_liver_failure,3
fluid_overload,2
swelling_of_stomach,2
swelled_lymph_nodes,7
malaise,3
blurred_and_distorted_vision,1
phlegm,1
throat_irritation,4
redness_of_eyes,1
sinus_pressure,3
runny_nose,7
congestion,3
chest_pain,5
weakness_in_limbs,3
fast_heart_rate,7
pain_during_bowel_movements,1
pain_in_anal_region,6
bloody_stool,4
irritation_in_anus,5
neck_pain,1
dizziness,4
cramps,1
bruising,5
obesity,3
swollen_legs,7
swollen_blood_vessels,6
puffy_face_and_eyes,5
enlarged_thyroid,7
brittle_nails,3
swollen_extremeties,5
excessive_hunger,2
extra_marital_contacts,6
drying_and_tingling_lips,1
slurred_speech,1
knee_pain,6
hip_joint_pain,2
muscle_weakness,7
stiff_neck,3
swelling_joints,1
movement_stiffness,7
spinning_movements,2
loss_of_balance,7
unsteadiness,1
weakness_of_one_body_side,4
loss_of_smell,3
bladder_discomfort,4
foul_smell_of_urine,6
continuous_feel_of_urine,7
passage_of_gases,3
internal_itching,2
toxic_look_(typhos),3
depression,3
irritability,2
muscle_pain,6
altered_sensorium,3
red_spots_over_body,6
belly_pain,6
abnormal_menstruation,6
dischromic_patches,1
watering_from_eyes,5
increased_appetite,6
polyuria,2
family_history,5
mucoid_sputum,6
rusty_sputum,2
lack_of_concentration,2
visual_disturbances,4
receiving_blood_transfusion,4
receiving_unsterile_injections,3
coma,6
stomach_bleeding,6
distention_of_abdomen,5
history_of_alcohol_consumption,2
fluid_overload.1,6
blood_in_sputum,3
prominent_veins_on_calf,7
palpitations,7
painful_walking,7
pus_filled_pimples,1
blackheads,2
scurring,7
skin_peeling,1
silver_like_dusting,7
small_dents_in_nails,3
inflammatory_nails,4
blister,3
red_sore_around_nose,1
yellow_crust_ooze,2
